,epoch,common:age_loss,common:age_accuracy,common:apparel_class_loss,common:apparel_class_accuracy,loss,val_common:age_loss,val_common:age_accuracy,val_common:apparel_class_loss,val_common:apparel_class_accuracy,val_loss,common:apparel_class_randomguess,common:age_randomguess
0,0,,0.7638326789354255,1.3375694751739502,0.3624649345874786,,0.6454741358757019,0.7624113425242554,1.267900466918945,0.4225637018680572,0.9646543264389038,0.25,0.3333333333333333
1,1,0.6577297449111938,0.7645074077146606,1.2578104734420776,0.4325027465820312,0.9654512405395508,0.6229707598686218,0.7624113425242554,1.1991462707519531,0.4777598083019256,0.918433427810669,0.25,0.3333333333333333
2,2,0.6440533995628357,0.7631578883168743,1.195864200592041,0.4782732427120209,0.9270222187042236,0.6665666103363037,0.7624113425242554,1.1205716133117676,0.5289122462272644,0.8993803262710571,0.25,0.3333333333333333
3,3,0.6683379411697388,0.7631578883168743,1.171430587768555,0.4999796748161316,0.92632395029068,0.6501094698905945,0.7624113425242554,1.1202778816223145,0.5333603024482727,0.8912118077278137,0.25,0.3333333333333333
4,4,0.6250219345092773,0.7699055471451239,1.115480661392212,0.5305069088935852,0.8765292763710022,0.6535266637802124,0.7624113425242554,1.0799565315246582,0.5499393343925476,0.8721999526023865,0.25,0.3333333333333333
5,5,0.6140751838684082,0.765856927112447,1.0891530513763428,0.547254204750061,0.8576949238777161,0.6597313284873962,0.7730496582568533,1.0361790657043457,0.5837039947509766,0.8527736067771912,0.25,0.3333333333333333
6,6,0.6181362867355347,0.7719297953221469,1.0583535432815552,0.5599365830421448,0.8438794612884521,0.6506331562995911,0.7659574259891564,0.9960967898368835,0.5911847949028015,0.8277868628501892,0.25,0.3333333333333333
7,7,,0.7672065083495512,1.0337551832199097,0.5720905661582947,,0.6529824733734131,0.7553191755944532,0.9776941537857056,0.6025070548057556,0.8194946050643921,0.25,0.3333333333333333
8,8,,0.7678812371287863,1.0275737047195437,0.5739604234695435,,0.6576727628707886,0.7624113425242554,0.9705137610435486,0.6079660058021545,0.8180975317955017,0.25,0.3333333333333333
9,9,0.6011433005332947,0.7786774541503982,1.0255424976348877,0.576602578163147,0.8187748193740845,0.6866255402565002,0.741134776396954,0.9798978567123412,0.6069551110267639,0.8370155692100525,0.25,0.3333333333333333
10,10,,0.7712550665429119,1.0027157068252563,0.584163248538971,,0.6373521685600281,0.7624113425242554,0.9364697337150574,0.616659939289093,0.7907396554946899,0.25,0.3333333333333333
11,11,,0.776653144134059,0.9833815097808838,0.5963578820228577,,0.6225549578666687,0.7234042283966609,0.9058194756507874,0.6255559921264648,0.7678128480911255,0.25,0.3333333333333333
12,12,,0.7746288959570375,0.971675992012024,0.5995284914970398,,0.6104516983032227,0.7801418251866555,0.925937831401825,0.6358673572540283,0.7722330093383789,0.25,0.3333333333333333
13,13,0.5779597163200378,0.776653144134059,0.9642229080200196,0.6044062972068787,0.7760354280471802,0.6182164549827576,0.7659574259891564,0.9260420799255372,0.6213101744651794,0.7760694622993469,0.25,0.3333333333333333
14,14,0.5857017636299133,0.7780027253711616,0.9465232491493224,0.6105849146842957,0.77073073387146,0.5800129175186157,0.7730496582568533,0.9313002228736876,0.618681788444519,0.7601529359817505,0.25,0.3333333333333333
15,15,0.5993705987930298,0.7739541053384845,0.9458187222480774,0.610950767993927,0.7770292162895203,0.6370060443878174,0.7375886275941601,0.908909559249878,0.633441150188446,0.776438295841217,0.25,0.3333333333333333
16,16,,0.7840755935808615,0.9466612339019777,0.6098532676696777,,0.6372637748718262,0.7588652590593543,0.8829057812690735,0.6473918557167053,0.7632289528846741,0.25,0.3333333333333333
17,17,0.5849939584732056,0.7813764929459709,0.9268775582313538,0.6235519051551819,0.7603116631507874,0.6611326336860657,0.7340425441292573,0.9148892760276794,0.6287909150123596,0.7912590503692627,0.25,0.3333333333333333
18,18,0.592802107334137,0.7753036247362727,0.9190542697906494,0.6239176988601685,0.760104238986969,0.6206615567207336,0.7553191755944532,0.8588681817054749,0.6556813716888428,0.7428140044212341,0.25,0.3333333333333333
19,19,0.55134117603302,0.7820512835645221,0.8991947174072266,0.6340392827987671,0.7297207713127136,0.6228673458099365,0.7375886275941601,0.8638125658035278,0.6538617014884949,0.7464239597320557,0.25,0.3333333333333333
