,epoch,common:apparel_class_loss,common:apparel_class_accuracy,common:color_loss,common:color_accuracy,loss,val_common:apparel_class_loss,val_common:apparel_class_accuracy,val_common:color_loss,val_common:color_accuracy,val_loss,common:apparel_class_randomguess,common:color_randomguess
0,0,1.2985074520111084,0.3958782255649566,2.889694929122925,0.2320833982290587,2.0737340450286865,1.2025988101959229,0.4838253259658813,2.447834253311157,0.2902990463852097,1.809277892112732,0.25,0.030303030303030304
1,1,1.2021609544754028,0.4726230502128601,2.461106300354004,0.2768206192703413,1.815519452095032,1.1480637788772583,0.5030327439308167,2.2042722702026367,0.3180160519743728,1.6626484394073486,0.25,0.030303030303030304
2,2,1.1658170223236084,0.4940856099128723,2.3223061561584477,0.30114377991057556,1.7292585372924805,1.122450828552246,0.5186008810997009,2.2142038345336914,0.3333333374634872,1.6543529033660889,0.25,0.030303030303030304
3,3,1.121744155883789,0.5233933329582214,2.2324330806732178,0.313160573826075,1.6628719568252563,1.07977557182312,0.5418519973754883,2.090097188949585,0.349380027739172,1.572004318237305,0.25,0.030303030303030304
4,4,1.0923491716384888,0.5403438806533813,2.1565957069396973,0.32705951139030964,1.6108499765396118,1.0327857732772827,0.5739991664886475,2.085970163345337,0.349380027739172,1.5458970069885254,0.25,0.030303030303030304
5,5,1.069550395011902,0.5504247546195984,2.100226879119873,0.3340089669038782,1.5716958045959473,1.0274685621261597,0.5800647139549255,2.034684658050537,0.36177972096061267,1.5181843042373655,0.25,0.030303030303030304
6,6,1.0542891025543213,0.5551806688308716,2.015587091445923,0.36759808592026905,1.5226339101791382,0.9984517097473145,0.5926001071929932,1.9632213115692136,0.3610503161740424,1.4684875011444092,0.25,0.030303030303030304
7,7,1.035326361656189,0.5681883096694946,1.9765925407409668,0.3683219914062592,1.493910789489746,1.018631935119629,0.5806712508201599,1.9432185888290403,0.36980306609845526,1.4690901041030884,0.25,0.030303030303030304
8,8,1.0273990631103516,0.5730254650115967,1.940501928329468,0.3786014280776409,1.472262978553772,0.9734533429145812,0.6004852652549744,1.9365887641906736,0.37563822375519407,1.4426932334899902,0.25,0.030303030303030304
9,9,1.0098026990890503,0.5793666839599609,1.9093656539916992,0.3828000480518665,1.4480698108673096,0.9719560146331788,0.6008896231651306,1.8773213624954224,0.37709700644972705,1.4130500555038452,0.25,0.030303030303030304
10,10,0.9989113211631776,0.5876590609550476,1.8751760721206665,0.39814679658808155,1.4258277416229248,0.9923883080482484,0.5917913317680359,1.8407808542251587,0.3982494495955807,1.4057252407073977,0.25,0.030303030303030304
11,11,0.9829303622245787,0.5923336744308472,1.8521891832351685,0.3926451520464934,1.4064337015151978,0.9582532644271852,0.6112009882926941,1.864086866378784,0.3727206314875208,1.3995752334594729,0.25,0.030303030303030304
12,12,0.9829212427139282,0.594894528388977,1.8104034662246704,0.40277977577616003,1.3860706090927124,0.928806483745575,0.6237363815307617,1.8567612171173096,0.39022610445773814,1.3809062242507937,0.25,0.030303030303030304
13,13,0.9760401844978333,0.5975773334503174,1.819439172744751,0.39771246391132675,1.386944055557251,0.9561432600021362,0.6136271953582764,1.8741793632507324,0.37490881896862377,1.4034101963043213,0.25,0.030303030303030304
14,14,0.9702248573303224,0.5989187359809875,1.7803654670715332,0.41479659622875714,1.364925742149353,0.939870297908783,0.6213101744651794,1.8045028448104856,0.4106491696956295,1.3611191511154177,0.25,0.030303030303030304
15,15,0.9570658802986144,0.6052599549293518,1.7633510828018188,0.4197191216889729,1.3498880863189695,0.925871193408966,0.620299220085144,1.8800125122070312,0.3734500362740911,1.3907289505004885,0.25,0.030303030303030304
16,16,0.954228699207306,0.6063981056213379,1.7547974586486816,0.4139279043381494,1.3442665338516235,0.9577404856681824,0.6101900339126587,1.870366215705872,0.37709700644972705,1.4023716449737549,0.25,0.030303030303030304
17,17,0.9466036558151244,0.6081460118293762,1.7414498329162598,0.4158100479868847,1.3338526487350464,0.944935977458954,0.6140315532684326,1.801234245300293,0.39314369672541183,1.3621244430541992,0.25,0.030303030303030304
18,18,0.9425158500671388,0.6108288168907166,1.726549744606018,0.4271029364163939,1.3244972229003906,0.8939095735549927,0.6350586414337158,1.7666866779327393,0.432530990749445,1.3191266059875488,0.25,0.030303030303030304
19,19,0.9328399896621704,0.6187959909439087,1.700480818748474,0.4304328910371095,1.306834697723389,0.9311522245407104,0.6140315532684326,1.8052220344543457,0.3982494495955807,1.356999158859253,0.25,0.030303030303030304
