,epoch,common:apparel_class_loss,common:apparel_class_accuracy,common:material_loss,common:material_accuracy,loss,val_common:apparel_class_loss,val_common:apparel_class_accuracy,val_common:material_loss,val_common:material_accuracy,val_loss,common:apparel_class_randomguess,common:material_randomguess
0,0,1.280888319015503,0.4065416753292084,3.0217134952545166,0.27066189292185167,2.129019021987915,1.1783572435379028,0.4928297400474548,3.007188558578491,0.21619217188240006,2.0693631172180176,0.25,0.029411764705882353
1,1,1.1687304973602295,0.4925736486911773,2.906871795654297,0.2760286133569765,2.0155532360076904,1.1579391956329346,0.4952534735202789,2.950989961624145,0.226868325479832,2.031513929367065,0.25,0.029411764705882353
2,2,1.128023624420166,0.5179368853569031,2.863187789916992,0.2745974911919963,1.9733957052230835,1.0654301643371582,0.5501918792724609,2.912309408187866,0.22153025688570355,1.9652295112609863,0.25,0.029411764705882353
3,3,1.0838050842285156,0.5384303331375122,2.8107800483703613,0.2771019837190938,1.9251869916915891,1.0413806438446045,0.5623106360435486,2.861557960510254,0.22864768714760011,1.9281710386276243,0.25,0.029411764705882353
4,4,1.0512524843215942,0.5550685524940491,2.79675841331482,0.27924865875559735,1.9016635417938232,0.9993807673454284,0.5934154987335205,2.8487234115600586,0.22953735977689665,1.9003806114196775,0.25,0.029411764705882353
5,5,1.0333359241485596,0.5704894065856934,2.758164644241333,0.2724507997335601,1.8736714124679563,0.9821289777755736,0.6002827882766724,2.85968279838562,0.2393238407450316,1.8968729972839355,0.25,0.029411764705882353
6,6,1.0097888708114624,0.5798230767250061,2.753916025161743,0.28085866503297513,1.8595274686813357,0.9584254026412964,0.612603485584259,2.8183064460754395,0.23131672144466434,1.864559769630432,0.25,0.029411764705882353
7,7,0.9833099246025084,0.5922814607620239,2.727011680603028,0.28014312858338397,1.832841873168945,0.952950954437256,0.6091698408126831,2.796849012374878,0.23487544478019973,1.851298213005066,0.25,0.029411764705882353
8,8,0.9764531254768372,0.5963395833969116,2.696315288543701,0.27853308946214095,1.814369797706604,0.9175634384155272,0.6243183016777039,2.814391613006592,0.21797153355016816,1.8416980504989624,0.25,0.029411764705882353
9,9,0.9548518657684326,0.6089197397232056,2.686612844467163,0.27692308318476316,1.7985665798187256,0.92440527677536,0.617451012134552,2.799781560897827,0.23754447907726392,1.8380882740020752,0.25,0.029411764705882353
10,10,0.9297678470611572,0.6229608058929443,2.6764767169952397,0.28300537291334393,1.7807639837265017,0.8952531814575195,0.640476644039154,2.7931809425354004,0.22953735977689665,1.819923520088196,0.25,0.029411764705882353
11,11,0.9336622357368468,0.6155750155448914,2.6499292850494385,0.2855098490185088,1.7698274850845337,0.8940303325653076,0.6406786441802979,2.756459951400757,0.23665480644796738,1.8014061450958252,0.25,0.029411764705882353
12,12,0.9139559864997864,0.6272218227386475,2.62227201461792,0.2828264723790137,1.746247172355652,0.8707493543624878,0.6465360522270203,2.7872231006622314,0.23843416811573506,1.8044553995132449,0.25,0.029411764705882353
13,13,0.9048194289207458,0.6291697025299072,2.616621494293213,0.28604651777763457,1.7388094663619995,0.8682571649551392,0.651787519454956,2.7406976222991943,0.23665480644796738,1.7805099487304688,0.25,0.029411764705882353
14,14,0.8955814242362976,0.6333901286125183,2.603752374649048,0.2915921387470896,1.72780179977417,0.852999210357666,0.6641082763671875,2.7642178535461426,0.23754447907726392,1.7841447591781616,0.25,0.029411764705882353
15,15,0.8829887509346008,0.6396802067756653,2.58326268196106,0.292307708040546,1.7113630771636963,0.8218286037445068,0.6725913882255554,2.7504971027374268,0.23843416811573506,1.761475920677185,0.25,0.029411764705882353
16,16,0.8743241429328918,0.6441441178321838,2.573608875274658,0.290697668919303,1.7022154331207275,0.8495479226112366,0.6578469276428223,2.7690463066101074,0.23487544478019973,1.7847274541854858,0.25,0.029411764705882353
17,17,0.8675023913383484,0.6487298011779785,2.5598669052124023,0.29105546998796383,1.6920222043991089,0.8409937024116516,0.6641082763671875,2.7488574981689453,0.23220641048313548,1.7705048322677612,0.25,0.029411764705882353
18,18,0.8661695718765259,0.6490544676780701,2.529304981231689,0.29928443475304817,1.6764490604400637,0.8191156387329102,0.6699656844139099,2.726247310638428,0.23754447907726392,1.7482699155807495,0.25,0.029411764705882353
19,19,0.8477920889854431,0.6573330163955688,2.522486686706543,0.29516995237050603,1.6637039184570312,0.8132835626602173,0.6808725595474243,2.7393112182617188,0.22419929118276777,1.751644492149353,0.25,0.029411764705882353
